HS2017,SITC2
294130,54133
294140,54139
294150,54139
294190,54139
294200,51699
300120,541
300190,541
300211,541
300212,541
300213,541
300214,541
300215,541
300219,541
300220,541
300230,541
300290,541
300310,54171
300320,54171
300331,54172
300339,54172
300341,54173
300342,54173
300343,54173
300349,54173
300360,54179
300390,54179
300410,54171
300420,54171
300431,54172
300432,54172
300439,54172
300441,54173
300442,54173
300443,54173
300449,54173
300450,54179
300460,54179
300490,54179
300510,54191
300590,54191
300610,541
300620,54199
300630,54199
300640,541
300650,541
300660,541
300670,541
300691,541
300692,541
310100,5629
310210,56216
310221,56213
310229,56219
310230,56211
310240,56219
310250,52321
310260,56219
310280,56219
310290,56219
310311,56222
310319,56222
310390,56229
310420,56231
310430,523
310490,523
310510,562
310520,56291
310530,56292
310540,56292
310551,56292
310559,56292
310560,56299
310590,562
320110,53221
320120,53221
320190,53221
320210,5323
320290,5323
320300,532
320411,5311
320412,5311
320413,5311
320414,5311
320415,5311
320416,5311
320417,5311
320419,5311
320420,53121
320490,53121
320500,53122
320611,5331
320619,5331
320620,5331
320641,5331
320642,5331
320649,5331
320650,5331
320710,53351
320720,53351
320730,53351
320740,53351
320810,53342
320820,53342
320890,53342
320910,5334
320990,5334
321000,5334
321100,53353
321210,5334
321290,5334
321310,53352
321390,53352
321410,53354
321490,53354
321511,5332
321519,5332
321590,89591
330112,5513
330113,5513
330119,5513
330124,5513
330125,5513
330129,5513
330130,5513
330190,5530
330210,5514
330290,5514
330300,5530
330410,5530
330420,5530
330430,5530
330491,5530
330499,5530
330510,5530
330520,5530
330530,5530
330590,5530
330610,5530
330620,5530
330690,5530
330710,5530
330720,5530
330730,5530
330741,5530
330749,5530
330790,553
340111,553
340119,554
340120,5541
340130,5542
340211,5542
340212,5542
340213,5542
340219,5542
340220,5542
340290,5542
340311,59899
340319,59899
340391,33452
340399,33452
340420,59831
340490,59831
340510,5543
340520,5543
340530,5543
340540,5543
340590,5543
340600,89931
340700,59899
350110,59221
350190,59221
350211,59222
350219,59222
350220,59222
350290,59222
350300,59223
350400,59224
350510,585
350520,59225
350610,59229
350691,59229
350699,59229
350710,51691
350790,51691
360100,57211
360200,57212
360300,5722
360410,5723
360490,5723
360500,89932
360610,89939
360690,89939
370110,88221
370120,88221
370130,88221
370191,88221
370199,88221
370210,8822
370231,8822
370232,8822
370239,8822
370241,8822
370242,8822
370243,8822
370244,8822
370252,8822
370253,8822
370254,8822
370255,8822
370256,8822
370296,8822
370297,8822
370298,8822
370310,88223
370320,88223
370390,88223
370400,88223
370500,88225
370610,8830
370690,8830
370710,8821
370790,8821
380110,59899
380120,59899
380130,59899
380190,59899
380210,59892
380290,59892
380300,59811
380400,59899
380510,59899
380590,59899
380610,585
380620,585
380630,585
380690,585
380700,59897
380852,591
380859,591
380861,5911
380862,5911
380869,5911
380891,5911
380892,5912
380893,5913
380894,59141
380899,591
380910,59899
380991,59899
380992,59899
380993,59899
381010,59896
381090,59896
381111,59899
381119,59899
381121,59899
381129,59899
381190,59899
381210,59833
381220,59899
381231,59899
381239,59899
381300,59894
381400,59897
381511,59898
381512,59898
381519,59898
381590,59898
381600,66233
381700,59899
381800,59899
381900,59899
382000,59899
382100,59899
382200,59899
382311,43131
382312,43131
382313,43131
382319,43131
382370,431
382410,59899
382430,59899
382440,59899
382450,59899
382460,59899
382471,59899
382472,59899
382473,59899
382474,59899
382475,59899
382476,59899
382477,59899
382478,59899
382479,59899
382481,59899
382482,59899
382483,59899
382484,59899
382485,59899
382486,59899
382487,59899
382488,59899
382491,59899
382499,59899
382510,59899
382520,59899
382530,87202
382541,59899
382549,59899
382550,59899
382561,59899
382569,59899
382590,59899
382600,59899
390110,58311
390120,58311
390130,5839
390140,5839
390190,5839
390210,58321
390220,5839
390230,5839
390290,5839
390311,58331
390319,58331
390320,58331
390330,58331
390390,58331
390410,58341
390421,58341
390422,58341
390430,58351
390440,5839
390450,5839
390461,5839
390469,5839
390490,5839
390512,5839
390519,5839
390521,5839
390529,5839
390530,5839
390591,5839
390599,5839
390610,58361
390690,58361
390710,5829
390720,5829
390730,58261
390740,58231
390750,58231
390761,58231
390769,58231
390770,58231
390791,58231
390799,58231
390810,58241
390890,58241
390910,58221
390920,58221
390931,58221
390939,58221
390940,58211
390950,58251
391000,5827
391110,5839
391190,5839
391211,58431
391212,58432
391220,5842
391231,58492
391239,58492
391290,58529
391310,58522
391390,585
391400,5838
391510,5839
391520,58339
391530,5839
391590,583
391610,5839
391620,5839
391690,583
391710,89399
391721,893
391722,893
391723,893
391729,893
391731,893
391732,893
391733,89399
391739,893
391740,89399
391810,893
391890,893
391910,893
391990,893
392010,5839
392020,5839
392030,58333
392043,5839
392049,5839
392051,58362
392059,58362
392061,58232
392062,58232
392063,58232
392069,58232
392071,58432
392073,58432
392079,58432
392091,583
392092,583
392093,583
392094,583
392099,583
392111,583
392112,583
392113,583
392114,583
392119,583
392190,583
392210,72848
392220,72848
392290,72848
392310,8931
392321,893
392329,893
392330,8931
392340,8931
392350,8931
392390,8931
392410,89399
392490,89399
392510,89399
392520,89399
392530,89399
392590,89399
392610,89394
392620,84821
392630,89399
392640,89399
392690,89399
400110,23201
400121,23202
400122,23202
400129,232
400130,62104
400211,621
400219,621
400220,621
400231,621
400239,621
400241,6210
400249,6210
400251,621
400259,621
400260,621
400270,621
400280,62101
400291,621
400299,621
400300,23321
400400,23322
400510,6210
400520,62102
400591,232
400599,232
400610,62104
400690,628
400700,62103
400811,62104
400819,62104
400821,62104
400829,62104
400911,62105
400912,62105
400921,62105
400922,62105
400931,62105
400932,62105
400941,62105
400942,62105
401011,6282
401012,6282
401019,6282
401031,6282
401032,6282
401033,6282
401034,6282
401035,6282
401036,6282
401039,6282
401110,6251
401120,6252
401130,6253
401140,6254
401150,6254
401170,62599
401180,62599
401190,62599
401211,62599
401212,62599
401213,62599
401219,62599
401220,62599
401290,62599
401310,62591
401320,62591
401390,62591
401410,6281
401490,6281
401511,84822
401519,84822
401590,84822
401610,62898
401691,784
401692,784
401693,784
401694,784
401695,784
401699,784
401700,62899
410120,611
410150,611
410190,611
410210,2116
410221,2117
410229,2117
410320,2120
410330,2120
410390,2120
410411,6114
410419,6114
410441,6114
410449,6114
410510,6115
410530,6115
410621,61161
410622,61161
410631,61169
410632,61169
410640,61169
410691,61169
410692,61169
410711,6114
410712,6114
410719,6114
410791,6114
410792,6114
410799,6114
411200,6115
411310,61161
411320,61169
411330,61169
411390,61169
411410,61181
411420,61183
411510,6112
411520,21191
420100,6122
420211,83102
420212,83102
420219,893
420221,83101
420222,83101
420229,83101
420231,893
420232,893
420239,893
420291,893
420292,893
420299,893
420310,8481
420321,8481
420329,8481
420330,8481
420340,8481
420500,6129
420600,89991
430110,21201
430130,21209
430160,21209
430180,21209
430190,21201
430211,6130
430219,6130
430220,6130
430230,848
430310,84831
430390,84831
430400,84832
440111,24501
440112,24501
440121,24602
440122,24602
440131,24603
440139,24603
440140,24603
440210,24502
440290,24502
440311,247
440312,247
440321,24711
440322,24711
440323,24711
440324,24711
440325,24711
440326,24711
440341,24721
440349,24721
440391,24721
440393,24721
440394,24721
440395,24721
440396,24721
440397,24721
440398,24721
440399,24721
440410,63491
440420,63491
440500,63493
440611,2481
440612,2481
440691,2481
440692,2481
440711,2482
440712,2482
440719,2482
440721,248
440722,248
440725,248
440726,248
440727,248
440728,248
440729,248
440791,248
440792,248
440793,248
440794,248
440795,248
440796,248
440797,248
440799,248
440810,248
440831,248
440839,248
440890,248
440910,635
440921,635
440922,635
440929,635
441011,63432
441012,63432
441019,63432
441090,63432
441112,64161
441113,64161
441114,64161
441192,64161
441193,64161
441194,64161
441210,6342
441231,6342
441233,6342
441234,6342
441239,6342
441294,6342
441299,6342
441300,63431
441400,63541
441510,63599
441520,63599
441600,6352
441700,63591
441810,6353
441820,6353
441840,6353
441850,63599
441860,6353
441873,6353
441874,6353
441875,6353
441879,6353
441891,6353
441899,6353
441911,635
441912,635
441919,635
441990,635
442010,63549
442090,63549
442110,63599
442191,63599
442199,63599
450110,24401
450190,24401
450200,24402
450310,63301
450390,63301
450410,63302
450490,63302
460121,899
460122,899
460129,899
460192,899
460193,899
460194,899
460199,899
460211,899
460212,899
460219,899
460290,899
470100,2512
470200,2516
470311,25171
470319,25171
470321,25172
470329,25172
470411,25181
470419,25181
470421,25182
470429,25182
470500,25191
470610,25192
470620,25192
470630,25192
470691,25192
470692,25192
470693,25192
470710,2511
470720,2511
