HS2012,SITC2
291739,51384
291739,51389
291811,5139
291812,5139
291813,5139
291814,5139
291815,5139
291816,5139
291818,5139
291819,5139
291821,5139
291822,5139
291823,5139
291829,5139
291830,5139
291891,5139
291899,5139
291910,51631
291990,51631
292011,51639
292019,51639
292090,51639
292111,5145
292119,5145
292121,5145
292122,5145
292129,5145
292130,5145
292141,5145
292142,5145
292143,5145
292144,5145
292145,5145
292146,5145
292149,5145
292151,5145
292159,5145
292211,5146
292212,5146
292213,5146
292214,5146
292219,5146
292221,5146
292229,5146
292231,5146
292239,5146
292241,5146
292242,5146
292243,5146
292244,5146
292249,5146
292250,5146
292310,51481
292320,51481
292390,51481
292411,5147
292412,5147
292419,5147
292421,5147
292423,5147
292424,5147
292429,5147
292511,51482
292512,51482
292519,51482
292521,51482
292529,51482
292610,51483
292620,51484
292630,51484
292690,51484
292700,51485
292800,51486
292910,51489
292990,51489
293020,5154
293030,5154
293040,5154
293050,5154
293090,5154
293110,51559
293110,51551
293120,51551
293120,51559
293190,51559
293190,51551
293211,51611
293211,51622
293211,51621
293211,5139
293211,51619
293211,51612
293211,51569
293212,51621
293212,51612
293212,51569
293212,51619
293212,51622
293212,51611
293212,5139
293213,51611
293213,5139
293213,51569
293213,51621
293213,51622
293213,51612
293213,51619
293219,51622
293219,51569
293219,51621
293219,51612
293219,51611
293219,51619
293219,5139
293220,51569
293291,51619
293291,5139
293291,51569
293291,51611
293291,51612
293291,51621
293291,51622
293292,51619
293292,5139
293292,51622
293292,51611
293292,51612
293292,51621
293292,51569
293293,5139
293293,51619
293293,51569
293293,51612
293293,51621
293293,51622
293293,51611
293294,51619
293294,5139
293294,51621
293294,51569
293294,51612
293294,51611
293294,51622
293295,51569
293295,51619
293295,51612
293295,51621
293295,51622
293295,51611
293295,5139
293299,51622
293299,51612
293299,51621
293299,51619
293299,51569
293299,5139
293299,51611
293311,51569
293319,51569
293321,5147
293329,51569
293331,51569
293332,51569
293333,51569
293339,51569
293341,51569
293349,51569
293352,5154
293352,51569
293352,5147
293352,51482
293353,5147
293353,51482
293353,51569
293353,5154
293354,5147
293354,51482
293354,51569
293354,5154
293355,5154
293355,51569
293355,5147
293355,51482
293359,51569
293359,5147
293359,51482
293359,5154
293361,5154
293361,51482
293361,51569
293361,5147
293369,51569
293369,5154
293369,51482
293369,5147
293371,51561
293372,51561
293379,51561
293391,51569
293391,51482
